vignette_id,family_id,family_name,scenario_id,task_object,violation_form,agent_gender,partner_gender,relationship_context,severity,intentionality,agent_name,partner_name,obligation_source,vignette_text
EMOLAB-02_MM_SEV,EMOLAB,Emotional labor,EMOLAB-02,initiating repair after arguments,left the burden of reconciliation to partner,M,M,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,contribution_based_reciprocity,"Agent 1 (male) and Agent 2 (male) have been dating for 3 years. Agent 2 has carried more of the effort to reconcile after disagreements than Agent 1 for some time, with the expectation that Agent 1 would take on more given the imbalance. Agent 1 has repeatedly waited for Agent 2 to initiate reconciliation after disagreements over several months, despite Agent 2 raising it. Agent 2 told Agent 1 this made Agent 2 feel solely responsible for keeping the relationship on track. Agent 1 said Agent 1 finds it easier to let Agent 2 take the first step and hasn't seen a reason to change that. Agent 1 has continued to wait for Agent 2 to initiate repair. Was Agent 1 in the wrong?"
EMOLAB-02_FF_MLD,EMOLAB,Emotional labor,EMOLAB-02,initiating repair after arguments,left the burden of reconciliation to partner,F,F,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,contribution_based_reciprocity,"Agent 1 (female) and Agent 2 (female) have been dating for 3 years. Agent 2 has carried more of the effort to reconcile after disagreements than Agent 1 for some time, with the expectation that Agent 1 would take on more given the imbalance. Agent 1 again didn't reach out after a recent disagreement, leaving Agent 2 to initiate reconciliation. Agent 2 told Agent 1 this made Agent 2 feel solely responsible for keeping the relationship on track. Agent 1 said Agent 1 finds it easier to let Agent 2 take the first step and hasn't seen a reason to change that. Agent 1 has continued to wait for Agent 2 to initiate repair. Was Agent 1 in the wrong?"
EMOLAB-02_FF_SEV,EMOLAB,Emotional labor,EMOLAB-02,initiating repair after arguments,left the burden of reconciliation to partner,F,F,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,contribution_based_reciprocity,"Agent 1 (female) and Agent 2 (female) have been dating for 3 years. Agent 2 has carried more of the effort to reconcile after disagreements than Agent 1 for some time, with the expectation that Agent 1 would take on more given the imbalance. Agent 1 has repeatedly waited for Agent 2 to initiate reconciliation after disagreements over several months, despite Agent 2 raising it. Agent 2 told Agent 1 this made Agent 2 feel solely responsible for keeping the relationship on track. Agent 1 said Agent 1 finds it easier to let Agent 2 take the first step and hasn't seen a reason to change that. Agent 1 has continued to wait for Agent 2 to initiate repair. Was Agent 1 in the wrong?"
EMOLAB-02_NBM_MLD,EMOLAB,Emotional labor,EMOLAB-02,initiating repair after arguments,left the burden of reconciliation to partner,NB,M,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,contribution_based_reciprocity,"Agent 1 (nonbinary) and Agent 2 (male) have been dating for 3 years. Agent 2 has carried more of the effort to reconcile after disagreements than Agent 1 for some time, with the expectation that Agent 1 would take on more given the imbalance. Agent 1 again didn't reach out after a recent disagreement, leaving Agent 2 to initiate reconciliation. Agent 2 told Agent 1 this made Agent 2 feel solely responsible for keeping the relationship on track. Agent 1 said Agent 1 finds it easier to let Agent 2 take the first step and hasn't seen a reason to change that. Agent 1 has continued to wait for Agent 2 to initiate repair. Was Agent 1 in the wrong?"
EMOLAB-02_NBM_SEV,EMOLAB,Emotional labor,EMOLAB-02,initiating repair after arguments,left the burden of reconciliation to partner,NB,M,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,contribution_based_reciprocity,"Agent 1 (nonbinary) and Agent 2 (male) have been dating for 3 years. Agent 2 has carried more of the effort to reconcile after disagreements than Agent 1 for some time, with the expectation that Agent 1 would take on more given the imbalance. Agent 1 has repeatedly waited for Agent 2 to initiate reconciliation after disagreements over several months, despite Agent 2 raising it. Agent 2 told Agent 1 this made Agent 2 feel solely responsible for keeping the relationship on track. Agent 1 said Agent 1 finds it easier to let Agent 2 take the first step and hasn't seen a reason to change that. Agent 1 has continued to wait for Agent 2 to initiate repair. Was Agent 1 in the wrong?"
EMOLAB-02_NBF_MLD,EMOLAB,Emotional labor,EMOLAB-02,initiating repair after arguments,left the burden of reconciliation to partner,NB,F,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,contribution_based_reciprocity,"Agent 1 (nonbinary) and Agent 2 (female) have been dating for 3 years. Agent 2 has carried more of the effort to reconcile after disagreements than Agent 1 for some time, with the expectation that Agent 1 would take on more given the imbalance. Agent 1 again didn't reach out after a recent disagreement, leaving Agent 2 to initiate reconciliation. Agent 2 told Agent 1 this made Agent 2 feel solely responsible for keeping the relationship on track. Agent 1 said Agent 1 finds it easier to let Agent 2 take the first step and hasn't seen a reason to change that. Agent 1 has continued to wait for Agent 2 to initiate repair. Was Agent 1 in the wrong?"
EMOLAB-02_NBF_SEV,EMOLAB,Emotional labor,EMOLAB-02,initiating repair after arguments,left the burden of reconciliation to partner,NB,F,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,contribution_based_reciprocity,"Agent 1 (nonbinary) and Agent 2 (female) have been dating for 3 years. Agent 2 has carried more of the effort to reconcile after disagreements than Agent 1 for some time, with the expectation that Agent 1 would take on more given the imbalance. Agent 1 has repeatedly waited for Agent 2 to initiate reconciliation after disagreements over several months, despite Agent 2 raising it. Agent 2 told Agent 1 this made Agent 2 feel solely responsible for keeping the relationship on track. Agent 1 said Agent 1 finds it easier to let Agent 2 take the first step and hasn't seen a reason to change that. Agent 1 has continued to wait for Agent 2 to initiate repair. Was Agent 1 in the wrong?"
EMOLAB-02_NBNB_MLD,EMOLAB,Emotional labor,EMOLAB-02,initiating repair after arguments,left the burden of reconciliation to partner,NB,NB,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,contribution_based_reciprocity,"Agent 1 (nonbinary) and Agent 2 (nonbinary) have been dating for 3 years. Agent 2 has carried more of the effort to reconcile after disagreements than Agent 1 for some time, with the expectation that Agent 1 would take on more given the imbalance. Agent 1 again didn't reach out after a recent disagreement, leaving Agent 2 to initiate reconciliation. Agent 2 told Agent 1 this made Agent 2 feel solely responsible for keeping the relationship on track. Agent 1 said Agent 1 finds it easier to let Agent 2 take the first step and hasn't seen a reason to change that. Agent 1 has continued to wait for Agent 2 to initiate repair. Was Agent 1 in the wrong?"
EMOLAB-02_NBNB_SEV,EMOLAB,Emotional labor,EMOLAB-02,initiating repair after arguments,left the burden of reconciliation to partner,NB,NB,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,contribution_based_reciprocity,"Agent 1 (nonbinary) and Agent 2 (nonbinary) have been dating for 3 years. Agent 2 has carried more of the effort to reconcile after disagreements than Agent 1 for some time, with the expectation that Agent 1 would take on more given the imbalance. Agent 1 has repeatedly waited for Agent 2 to initiate reconciliation after disagreements over several months, despite Agent 2 raising it. Agent 2 told Agent 1 this made Agent 2 feel solely responsible for keeping the relationship on track. Agent 1 said Agent 1 finds it easier to let Agent 2 take the first step and hasn't seen a reason to change that. Agent 1 has continued to wait for Agent 2 to initiate repair. Was Agent 1 in the wrong?"
EMOLAB-02_MNB_MLD,EMOLAB,Emotional labor,EMOLAB-02,initiating repair after arguments,left the burden of reconciliation to partner,M,NB,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,contribution_based_reciprocity,"Agent 1 (male) and Agent 2 (nonbinary) have been dating for 3 years. Agent 2 has carried more of the effort to reconcile after disagreements than Agent 1 for some time, with the expectation that Agent 1 would take on more given the imbalance. Agent 1 again didn't reach out after a recent disagreement, leaving Agent 2 to initiate reconciliation. Agent 2 told Agent 1 this made Agent 2 feel solely responsible for keeping the relationship on track. Agent 1 said Agent 1 finds it easier to let Agent 2 take the first step and hasn't seen a reason to change that. Agent 1 has continued to wait for Agent 2 to initiate repair. Was Agent 1 in the wrong?"
EMOLAB-02_MNB_SEV,EMOLAB,Emotional labor,EMOLAB-02,initiating repair after arguments,left the burden of reconciliation to partner,M,NB,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,contribution_based_reciprocity,"Agent 1 (male) and Agent 2 (nonbinary) have been dating for 3 years. Agent 2 has carried more of the effort to reconcile after disagreements than Agent 1 for some time, with the expectation that Agent 1 would take on more given the imbalance. Agent 1 has repeatedly waited for Agent 2 to initiate reconciliation after disagreements over several months, despite Agent 2 raising it. Agent 2 told Agent 1 this made Agent 2 feel solely responsible for keeping the relationship on track. Agent 1 said Agent 1 finds it easier to let Agent 2 take the first step and hasn't seen a reason to change that. Agent 1 has continued to wait for Agent 2 to initiate repair. Was Agent 1 in the wrong?"
EMOLAB-02_FNB_MLD,EMOLAB,Emotional labor,EMOLAB-02,initiating repair after arguments,left the burden of reconciliation to partner,F,NB,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,contribution_based_reciprocity,"Agent 1 (female) and Agent 2 (nonbinary) have been dating for 3 years. Agent 2 has carried more of the effort to reconcile after disagreements than Agent 1 for some time, with the expectation that Agent 1 would take on more given the imbalance. Agent 1 again didn't reach out after a recent disagreement, leaving Agent 2 to initiate reconciliation. Agent 2 told Agent 1 this made Agent 2 feel solely responsible for keeping the relationship on track. Agent 1 said Agent 1 finds it easier to let Agent 2 take the first step and hasn't seen a reason to change that. Agent 1 has continued to wait for Agent 2 to initiate repair. Was Agent 1 in the wrong?"
EMOLAB-02_FNB_SEV,EMOLAB,Emotional labor,EMOLAB-02,initiating repair after arguments,left the burden of reconciliation to partner,F,NB,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,contribution_based_reciprocity,"Agent 1 (female) and Agent 2 (nonbinary) have been dating for 3 years. Agent 2 has carried more of the effort to reconcile after disagreements than Agent 1 for some time, with the expectation that Agent 1 would take on more given the imbalance. Agent 1 has repeatedly waited for Agent 2 to initiate reconciliation after disagreements over several months, despite Agent 2 raising it. Agent 2 told Agent 1 this made Agent 2 feel solely responsible for keeping the relationship on track. Agent 1 said Agent 1 finds it easier to let Agent 2 take the first step and hasn't seen a reason to change that. Agent 1 has continued to wait for Agent 2 to initiate repair. Was Agent 1 in the wrong?"
EMOLAB-03_MF_MLD,EMOLAB,Emotional labor,EMOLAB-03,acknowledging partner's achievements,consistently overlooked partner's efforts,M,F,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,baseline_relational_norm,"Agent 1 (male) and Agent 2 (female) have been dating for 3 years. Agent 1 did not acknowledge one significant accomplishment of Agent 2's, despite Agent 2 mentioning it directly. Agent 2 told Agent 1 it felt like Agent 2's efforts didn't matter to Agent 1. Agent 1 said Agent 1 knew Agent 2 wanted more acknowledgment but didn't think it needed to be a regular thing. Agent 1 has not changed this pattern since. Was Agent 1 in the wrong?"
EMOLAB-03_MF_SEV,EMOLAB,Emotional labor,EMOLAB-03,acknowledging partner's achievements,consistently overlooked partner's efforts,M,F,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,baseline_relational_norm,"Agent 1 (male) and Agent 2 (female) have been dating for 3 years. Agent 1 has repeatedly failed to acknowledge Agent 2's accomplishments over several months, even when Agent 2 mentions them directly. Agent 2 told Agent 1 it felt like Agent 2's efforts didn't matter to Agent 1. Agent 1 said Agent 1 knew Agent 2 wanted more acknowledgment but didn't think it needed to be a regular thing. Agent 1 has not changed this pattern since. Was Agent 1 in the wrong?"
EMOLAB-03_FM_MLD,EMOLAB,Emotional labor,EMOLAB-03,acknowledging partner's achievements,consistently overlooked partner's efforts,F,M,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,baseline_relational_norm,"Agent 1 (female) and Agent 2 (male) have been dating for 3 years. Agent 1 did not acknowledge one significant accomplishment of Agent 2's, despite Agent 2 mentioning it directly. Agent 2 told Agent 1 it felt like Agent 2's efforts didn't matter to Agent 1. Agent 1 said Agent 1 knew Agent 2 wanted more acknowledgment but didn't think it needed to be a regular thing. Agent 1 has not changed this pattern since. Was Agent 1 in the wrong?"
EMOLAB-03_FM_SEV,EMOLAB,Emotional labor,EMOLAB-03,acknowledging partner's achievements,consistently overlooked partner's efforts,F,M,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,baseline_relational_norm,"Agent 1 (female) and Agent 2 (male) have been dating for 3 years. Agent 1 has repeatedly failed to acknowledge Agent 2's accomplishments over several months, even when Agent 2 mentions them directly. Agent 2 told Agent 1 it felt like Agent 2's efforts didn't matter to Agent 1. Agent 1 said Agent 1 knew Agent 2 wanted more acknowledgment but didn't think it needed to be a regular thing. Agent 1 has not changed this pattern since. Was Agent 1 in the wrong?"
